Target,Prediction,Tissue,Genotype,Treatment
GSM3566801,9.761669,leaves,SunTag_VP64_nog,--
GSM3573045,9.38656,whole plant,--,MeJA
GSM3573039,7.894269,whole plant,--,Mock
SRX5312862,10.727589,shoot,ANAC017OE1,--
SRX5312865,10.756723,shoot,ANAC017OE2,--
SRX5312868,13.190371,shoot,ANAC017OE3,--
SRX5312888,9.624625,shoot,ANAC017TMOE1,--
SRX5312882,10.955779,shoot,ANAC017TMOE2,--
SRX5312884,11.624099,shoot,anac017-TM,--
SRX5312860,10.190963,shoot,anac017KO,--
SRX5312878,10.252632,shoot,rao2-1EMS,--
SRX5312872,11.8355255,shoot,wild type,--
SRX5312870,15.580018,shoot,wild type,--
GSM3596616,19.033932,10day seedling,wild type,GR244DO_2 hours
GSM3596619,20.041313,10day seedling,wild type,GR244DO_4 hours
GSM3596622,18.596754,10day seedling,wild type,solvent_0 hours (start point)
GSM3596625,15.80607,10day seedling,wild type,solvent_2 hours
GSM3596628,18.0903,10day seedling,wild type,solvent_4 hours
GSM3605155,17.29963,6day seedlings,Wild type,JA_1h
GSM3605160,16.223585,6day seedlings,Wild type,JA_3h
GSM3605150,14.330848,6day seedlings,Wild type,untreated
GSM3605170,16.735214,6day seedlings,ecap-2 mutant,JA_1h
GSM3605175,16.311054,6day seedlings,ecap-2 mutant,JA_3h
GSM3605165,13.113202,6day seedlings,ecap-2 mutant,untreated
GSM3612828,18.912535,root,clf,iron deHicient
GSM3612825,23.747282,root,clf,iron suHHicient
GSM3612822,24.583971,root,wild type,iron deHicient
GSM3612819,19.71495,root,wild type,iron suHHicient
GSM3620625,11.150835,seedlings,--,--
GSM3620641,15.492933,seedlings,--,--
GSM3633925,15.602213,complete seedling,H89C11-7 transgenic line,--
GSM3633928,17.539207,complete seedling,H89C23-10 transgenic line,--
GSM3633931,20.827866,complete seedling,H89C4-7 transgenic line,--
GSM3633934,17.83355,complete seedling,NEET10-10 transgenic line,--
GSM3633937,17.26068,complete seedling,NEET11-9 transgenic line,--
GSM3633940,15.089928,complete seedling,NEET5-4 transgenic line,--
GSM3633922,18.740074,complete seedling,wild type,--
GSM3636165,26.919641,seedling root,ein2-1/jar1-1,untreated plate
GSM3636167,22.143145,seedling root,ein2-1/jar1-1,untreated plate
GSM3636157,21.335781,seedling root,wild type,untreated plate
GSM3636159,26.798794,seedling root,wild type,untreated plate
SRX5453451,11.564259,--,OE5,control
SRX5453444,20.875149,--,OE5,salt stress
SRX5453448,17.543663,--,wild type,control
SRX5453446,18.960873,--,wild type,salt stress
GSM3639345,15.131207,seedlings,pk1-1,4 C Hor 0 h
GSM3639351,26.342691,seedlings,pk1-1,4 C Hor 24 h
GSM3639348,22.35493,seedlings,pk1-1,4 C Hor 3 h
GSM3639336,11.934333,seedlings,wild type,Mock
GSM3639342,30.76511,seedlings,wild type,cold 24h
GSM3639339,23.478464,seedlings,wild type,cold 3h
GSM3656400,38.127247,seedling,--,3'-butyl ABA
GSM3656397,44.021446,seedling,--,3'-propyl ABA
GSM3656394,38.456463,seedling,--,ABA
GSM3656391,21.4211,seedling,--,DMSO
GSM3656471,15.903926,leaves,pip5k1 pip5k2 mutant,Erysiphe cichoracearum 2dpi
GSM3656477,16.065498,leaves,pip5k1 pip5k2 mutant,Erysiphe cichoracearum 5dpi
GSM3656483,17.06231,leaves,pip5k1 pip5k2 mutant,Erysiphe cichoracearum 7dpi
GSM3656489,18.00704,leaves,pip5k1 pip5k2 mutant,none 2d
GSM3656495,15.180489,leaves,pip5k1 pip5k2 mutant,none 5d
GSM3656501,17.28993,leaves,pip5k1 pip5k2 mutant,none 7d
GSM3656468,11.765205,leaves,wild type,Erysiphe cichoracearum 2dpi
GSM3656474,19.42608,leaves,wild type,Erysiphe cichoracearum 5dpi
GSM3656480,12.196398,leaves,wild type,Erysiphe cichoracearum 7dpi
GSM3656486,10.809517,leaves,wild type,none 2d
GSM3656492,15.204462,leaves,wild type,none 5d
GSM3656498,9.328072,leaves,wild type,none 7d
SRX5494234,14.908087,seedling,wild type,37 heat shock 2.5 min*
SRX5494229,18.049177,seedling,wild type,37 heat shock 7.5 min*
SRX5494233,16.914059,seedling,wild type,control
SRX5494605,12.846301,rosette leaf,wild type,37 heat shock 10 min*
SRX5494597,8.597515,rosette leaf,wild type,control
SRX5501278,17.818537,Rosette leaves,--,water+water*
GSM3665904,13.624559,Root,wild type,CdCl2 72hr
GSM3665907,12.503629,Root,wild type,CdCl2 72hr
GSM3665910,19.276636,Root,wild type,CdCl2 72hr
GSM3665895,18.92523,Shoot,wild type,CdCl2 72hr
GSM3665898,22.36919,Shoot,wild type,CdCl2 72hr
GSM3665901,21.429127,Shoot,wild type,CdCl2 72hr
GSM3667125,47.316036,root protoplasts,--,0N
GSM3667110,50.82547,root protoplasts,--,"0N, Cycloheximide, Dexamethasone"
GSM3667141,54.957363,root protoplasts,--,"0N, Cycloheximide, Dexamethasone"
GSM3667113,42.08782,root protoplasts,--,"5N, Cycloheximide, Dexamethasone"
GSM3667144,45.75865,root protoplasts,--,"5N, Cycloheximide, Dexamethasone"
GSM3667129,50.61701,root protoplasts,--,60N
GSM3667116,55.31256,root protoplasts,--,"60N, Cycloheximide, Dexamethasone"
GSM3667147,41.07747,root protoplasts,--,"60N, Cycloheximide, Dexamethasone"
GSM3667122,89.81317,root protoplasts,--,"Nitrogen, plus Cycloheximide, Dexamethasone"
GSM3667133,19.77763,whole roots,--,0N
GSM3667137,19.659458,whole roots,--,60N
SRX5576226,32.12376,root,--,--
SRX5576222,32.102924,root,--,--
GSM3674583,9.141964,leaf,--,--
GSM3677733,17.725208,4PGD seedlings,Wild type,"grown in the dark for 4 days, at 22Â°C ."
GSM3677735,15.170758,4PGD seedlings,fypp1 fypp3 homozygote,"grown in the dark for 4 days, at 22Â°C ."
GSM3677737,13.676599,4PGD seedlings,pifq1 pifq3 piq4 pifq5 homozygote,"grown in the dark for 4 days, at 22Â°C ."
SRX5544594,14.939636,Aerial,Transgenic: p35S::BAR and p35S::GFP,--
GSM3687874,23.657885,10 day old roots,tex1-4,Petri dishes
GSM3687871,18.948284,10 day old roots,wild type,Petri dishes
GSM3687883,17.843328,3 weeks old roots,pho1-7,Pots
GSM3687881,14.896489,3 weeks old roots,pho1-7hpr1-5,Pots
GSM3687879,16.669514,3 weeks old roots,pho1-7tex1-4,Pots
GSM3687877,18.372038,3 weeks old roots,wild type,Pots
GSM3688580,10.654688,Inflorescence tissues,ddm1-2,--
GSM3688568,13.071359,Inflorescence tissues,ddm1-2,--
GSM3688574,20.10176,Inflorescence tissues,ddm1-2,--
GSM3688583,11.437347,Inflorescence tissues,ddm1-2 rdr6-15,--
GSM3688571,11.248217,Inflorescence tissues,ddm1-2 rdr6-15,--
GSM3688577,16.787363,Inflorescence tissues,ddm1-2 rdr6-15,--
GSM3690288,11.522005,leaf,--,Mock
GSM3690303,11.669133,leaf,--,Pathogen
GSM3690671,18.592766,seedlings,AtIPCS1 over expressing line,untreated
GSM3690668,12.7607155,seedlings,AtIPCS1 over expressing line,untreated
GSM3690677,14.51989,seedlings,AtIPCS2 over expressing line,untreated
GSM3690674,15.090918,seedlings,AtIPCS2 over expressing line,untreated
GSM3690683,14.495787,seedlings,AtIPCS3 over expressing line,untreated
GSM3690680,17.135818,seedlings,AtIPCS3 over expressing line,untreated
GSM3690686,12.455592,seedlings,wild type,untreated
GSM3692910,16.39078,Seedlings,tfIIs-1 (SALK_056755),2 mM b-estradiol
GSM3692916,21.269342,Seedlings,tfIIs-1 (SALK_056755),2 mM b-estradiol
GSM3692907,19.78016,Seedlings,tfIIs-1 (SALK_056755),EtOH
GSM3692913,18.313784,Seedlings,tfIIs-1 (SALK_056755),EtOH
SRX5634102,20.05933,Root,--,control
SRX5634099,22.981886,Root,--,perHluorooctanoic acid
GSM3712372,6.742806,whole seedling,Col-0,1000Pi_NoBacteria
GSM3712360,8.762288,whole seedling,Col-0,1000Pi_NoBacteria
GSM3712366,13.233297,whole seedling,Col-0,1000Pi_SynCom
GSM3712378,8.852375,whole seedling,Col-0,1000Pi_SynCom
GSM3712363,13.5239105,whole seedling,Col-0,50Pi_NoBacteria
GSM3712369,16.023191,whole seedling,Col-0,50Pi_SynCom
GSM3712381,14.116671,whole seedling,Col-0,50Pi_SynCom
GSM3714860,26.38468,14day seedlings,Hen2-2,4C cold treatment for 3h
GSM3714858,21.130426,14day seedlings,Hen2-2,none
GSM3714862,18.269857,14day seedlings,wild type,4C cold treatment for 3h
GSM3716756,59.345,seedlings,wild type,--
GSM3728301,18.17851,2-week seedlings,prp40c -/-,Continuous white light 22degreeC
GSM3762827,24.37975,roots,--,grown with phosphate
GSM3762833,29.504066,roots,--,grown with phosphate and treated with cis-zeatin
GSM3762830,27.154884,roots,--,grown with phosphate and treated with trans-zeatin
GSM3762836,26.886246,roots,--,grown without phosphate
GSM3762842,30.567795,roots,--,grown without phosphate and treated with cis-zeatin
GSM3762839,33.014717,roots,--,grown without phosphate and treated with trans-zeatin
GSM3767882,11.584183,whole shoot,hos15-4 mutant,--
GSM3767879,8.752743,whole shoot,wild type,--
GSM3813847,10.174592,rosette leaves,wild type,--
SRX5900576,31.902924,seedlings,MYB49OX,salt
SRX5900575,21.284655,seedlings,MYB49SR,salt
SRX5900580,19.200176,seedlings,wild type,salt
SRX5979120,24.26895,leaf,--,Wounding
SRX5979122,13.920689,leaf,--,trans-gene-AtMYB46
SRX5979118,13.464045,leaf,--,trans-gene-AtMYB46
SRX5979116,19.865313,leaf,wild type,Wounding
GSM3851782,17.86948,Whole seedlings,Wild type,6h acclimation-level UV-B
GSM3851780,18.281301,Whole seedlings,Wild type,low white light
GSM3851791,13.955475,Whole seedlings,pif4-101 pif5-1,low white light
GSM3851788,16.84887,Whole seedlings,uvr8-6,6h acclimation-level UV-B
GSM3851785,15.905619,Whole seedlings,uvr8-6,low white light
SRX5995786,19.282146,in vitro cotyledon,--,0hai
SRX5995782,21.954782,in vitro cotyledon,--,0hai
SRX5995784,24.773565,in vitro cotyledon,--,48hai
SRX5995790,19.645159,in vitro cotyledon,--,48hai
GSM3863056,17.988564,seedings,--,Control
GSM3863058,19.927769,seedings,--,Heat
GSM3863060,16.79544,seedings,--,Recovery
SRX6043985,20.447033,collet,wild type,Hlg22 1 uM
SRX6043988,20.569828,collet,wild type,Mock
GSM3899026,10.338806,seedlings,wild type,6h_C6
GSM3899023,17.09471,seedlings,wild type,6h_nlp20
GSM3901393,23.011597,root,wild type,--
GSM3949107,28.20508,Three day old etiolated seedlings,wild type,JA treatment for 0.25h
GSM3949110,24.768871,Three day old etiolated seedlings,wild type,JA treatment for 0.5h
GSM4125611,25.62804,Three day old etiolated seedlings,wild type,JA treatment for 0.5h
GSM3949104,25.10723,Three day old etiolated seedlings,wild type,JA treatment for 0h
GSM4125607,28.022623,Three day old etiolated seedlings,wild type,JA treatment for 0h
GSM3949125,25.547243,Three day old etiolated seedlings,wild type,JA treatment for 12h
GSM3949113,28.963818,Three day old etiolated seedlings,wild type,JA treatment for 1h
GSM4125613,31.119968,Three day old etiolated seedlings,wild type,JA treatment for 1h
GSM3949128,21.776684,Three day old etiolated seedlings,wild type,JA treatment for 24h
GSM3949116,28.814135,Three day old etiolated seedlings,wild type,JA treatment for 2h
GSM3949119,28.172344,Three day old etiolated seedlings,wild type,JA treatment for 4h
GSM4125616,25.673311,Three day old etiolated seedlings,wild type,JA treatment for 4h
GSM3949122,23.286797,Three day old etiolated seedlings,wild type,JA treatment for 8h
GSM3908325,13.079201,2-week seedlings,fry1,--
GSM3908329,16.084867,2-week seedlings,fry1rdr6,--
GSM3908327,17.153101,2-week seedlings,fry1rdr6,--
GSM3912166,22.888988,5-day-old whole seedlings,ML1p::PIF4;pifq,--
GSM3912168,20.30933,5-day-old whole seedlings,SUC2p::PIF4;pifq,--
GSM3912170,16.015831,5-day-old whole seedlings,pifq,--
GSM3912164,16.269634,5-day-old whole seedlings,wild type,--
GSM3933411,26.56652,seeds,wild type,Har red pulse Hor 20 min
GSM3933408,26.34039,seeds,wild type,red-light pulse Hor 20 min
GSM3936256,12.041797,rosette,wild type,0.1% EtOH*
GSM3936269,16.613909,rosette,wild type,100Î¼M MEL*
GSM3936261,18.507477,rosette,wild type,4.5Î¼M NAA*
GSM3936265,10.543838,rosette,wild type,5Î¼M MEL*
SRX6451342,17.331814,whole plant,crf2-2,untreated
SRX6451337,56.883873,whole plant,crf5-6,oxidative stress (H2O2)*
SRX6451346,21.10893,whole plant,crf5-6,untreated
SRX6451334,26.377434,whole plant,wild type,oxidative stress (H2O2)*
SRX6451332,32.79694,whole plant,wild type,salt stress(NaCl)*
SRX6451336,13.879286,whole plant,wild type,untreated
GSM3945669,24.14191,leaves,wild type,Heat stress
GSM3945668,15.048991,leaves,wild type,High light
GSM3945670,21.458866,leaves,wild type,Highlight + Heat stress
GSM3945667,12.326847,leaves,wild type,control
GSM3946190,7.479368,whole plant,atcgl20ab,--
GSM3946187,7.960808,whole plant,wild type,--
GSM3928334,6.437642,Apical cell,--,--
GSM3928337,4.647547,Basal cell,--,--
GSM3928340,7.822281,Embryo proper,--,--
SRX6685613,23.988888,root,WRKY15 overexpression Line #43,--
SRX6685607,24.8548,root,wild type,--
SRX5187329,6.977487,apical part,npr1,1h aHter high R/HR*
SRX5187324,6.1034365,apical part,npr1,1h aHter low R/HR*
SRX5187309,7.512519,apical part,npr1,49h aHter high R/HR*
SRX5187305,7.395928,apical part,npr1,49h aHter low R/HR*
SRX5187285,6.666133,apical part,sid2,1h aHter high R/HR*
SRX5187289,6.5186524,apical part,sid2,1h aHter low R/HR*
SRX5187287,6.826701,apical part,sid2,49h aHter low R/HR*
GSM4047435,14.498118,whole seedlings,lsm8-2,--
GSM4047441,13.900131,whole seedlings,lsm8-2 rrp4-2,--
GSM4047438,14.668394,whole seedlings,rrp4-2,--
GSM4047432,16.984528,whole seedlings,wild type,--
GSM4055164,41.36885,Seedling,tt19,--
GSM4055146,43.69498,Seedling,tt19; suppressor S1,--
GSM4055149,63.90332,Seedling,tt19; suppressor S2,--
GSM4055152,38.18399,Seedling,tt19; suppressor S4,--
GSM4055155,58.043686,Seedling,tt19; suppressor S5,--
GSM4055158,37.77717,Seedling,tt19; suppressor S7,--
GSM4055161,54.47289,Seedling,tt19; suppressor S8,--
GSM4055167,43.18536,Seedling,wild type,--
SRX6794372,12.804982,seedlings,--,Single-walled carbon nanohorns (SWCNHs)-treated
SRX6794369,11.965038,seedlings,--,untreated
GSM4083442,9.963179,leaf,--,mock
GSM4086201,29.572567,seedling,--,continuous light
GSM4086217,23.615318,seedling,--,long-day condition (16 h ligh/8 h dark)
SRX6955491,20.93296,stamen,cop1-4 mutant,--
GSM4109556,19.161182,seedlings,--,Diacetyl
GSM4109548,24.904902,seedlings,--,GMV
GSM4109552,20.026499,seedlings,--,GMV
GSM4109546,21.789505,seedlings,--,mock
GSM4109550,20.887836,seedlings,--,mock
GSM4109554,20.449768,seedlings,--,mock
SRX6986772,12.099591,whole plant,AtWRKY21*,control
SRX6986769,15.972493,whole plant,AtWRKY21*,osmotic stress PEG*
SRX6986767,11.180798,whole plant,wild type,control
SRX6986775,17.138767,whole plant,wild type,osmotic stress PEG*
GSM4132325,12.783036,wounded region of detached leaf explants with partial petiole,wild type,control
GSM4132327,18.915276,wounded region of detached leaf explants with partial petiole,wild type,dark 2day
GSM4133880,14.161698,Primary inflorescence of shoot apices,vip3-1 null,--
GSM4133877,10.728495,Primary inflorescence of shoot apices,wild type,--
GSM4142594,13.010323,complete rosette,--,--
GSM4142597,17.683275,complete rosette,--,--
GSM4142600,13.15489,complete rosette,--,--
GSM4142591,8.712365,complete rosette,--,--
GSM4142588,8.903967,complete rosette,wild type,--
GSM4145026,15.40249,seedings,arid5(-/-),--
GSM4145028,39.150764,seedings,chr11(-/-)chr17(-/-),--
GSM4145030,16.51244,seedings,rlt1(-/-)rlt2(-/-),--
GSM4145024,11.234401,seedings,wild type,--
SRX7083038,21.460373,the whole plant,atbrca1-1,--
SRX7083034,17.464006,the whole plant,wild type,--
GSM4151811,27.060589,seedling,bsu-q,flg22-treated
GSM4151805,23.111835,seedling,bsu-q,untreated
GSM4151808,32.822483,seedling,wild type,flg22-treated
SRX7136600,21.116844,flower buds,nacbeta1,--
SRX7136597,12.465284,flower buds,nacbeta1nacbeta2,--
SRX7136603,15.877557,flower buds,nacbeta2,--
SRX7136595,14.861084,flower buds,wild type,--
SRX7158154,16.646059,whole seedling,ccc1 mutant,CK
SRX7158151,17.36715,whole seedling,wild type,CK
GSM4196120,18.514551,whole seedling,MYB30- over expression,--
GSM4196117,18.821634,whole seedling,myb30 mutant,--
GSM4196114,18.120646,whole seedling,wild type,--
GSM4200535,52.845406,seedling,stch4-1,24C treatment for 4 hours
GSM4200532,28.588686,seedling,stch4-1,4C treatment for 4 hours
GSM4200529,21.144518,seedling,stch4-1,without 4C treatment
GSM4200526,53.986187,seedling,wild type,24C treatment for 4 hours
GSM4200523,35.808598,seedling,wild type,4C treatment for 4 hours
GSM4200520,20.785553,seedling,wild type,without 4C treatment
SRX7261878,1.160767,pollen,atnot1-1 +/-,--
SRX7261876,0.8037482,pollen,wild type,--
GSM4216733,21.966011,whole seedling,clpp2-1: KO-1 of mtCLPP2 (AT5g23140),--
GSM4216736,23.999918,whole seedling,clpp2-2: KO-2 of mtCLPP2 (AT5g23140),--
GSM4216730,24.727512,whole seedling,wild type,--
GSM4217890,24.797018,phloem cap,--,--
GSM4217892,12.784986,pith,--,--
GSM4217888,27.70492,vascular bundle without phloem cap,--,--
GSM4224095,23.88815,Seedlings,35S-RTL1,--
GSM4224091,21.135612,Seedlings,35S-RTL2,--
GSM4224088,14.657605,Seedlings,dcl234,--
GSM4224086,14.827441,Seedlings,dcl234/35S-RTL2,--
GSM4224094,22.007717,Seedlings,rtl2,--
GSM4224092,18.82351,Seedlings,wild type,--
GSM4231547,10.594685,leaf,--,22C T1
GSM4231549,14.959459,leaf,--,22C T2
GSM4231556,17.6409,leaf,--,22C T6
GSM4231558,20.331635,leaf,--,22C T7
GSM4231560,35.721863,leaf,--,22C T8
GSM4231562,16.68216,leaf,--,22C T9
GSM4231568,10.154745,leaf,--,45C T1
GSM4231588,13.854251,leaf,--,45C T11
GSM4231570,13.028358,leaf,--,45C T2
GSM4231572,13.949692,leaf,--,45C T3
GSM4231576,30.518671,leaf,--,45C T5
GSM4231580,16.195286,leaf,--,45C T7
GSM4231582,35.16604,leaf,--,45C T8
GSM4231584,14.7373705,leaf,--,45C T9
SRX7489749,13.411221,seedlings,--,control
SRX7489752,13.53861,seedlings,--,volatile organic compounds*
GSM4274334,11.085724,whole rosette,jac1 mutant,Non-treated control
GSM4274328,11.547585,whole rosette,wild type,Non-treated control
GSM4274304,13.229565,whole rosette,phot1 mutant,Non-treated control
GSM4274316,11.2276325,whole rosette,phot1/phot2 mutant,Non-treated control
GSM4274310,11.376816,whole rosette,phot2 mutant,Non-treated control
GSM4274298,11.625034,whole rosette,wild type,Non-treated control
SRX7582592,47.62549,root,--,root AtRALH1 treatment
SRX7582603,43.904564,root,--,root MhRALH3 treatment
SRX7582596,25.32446,root,--,root MiRALH1 Mock
SRX7582600,38.688557,root,--,root MiRALH1 treatment
SRX7582594,29.219332,root,--,root Mock
SRX7581662,6.891147,cotyledon,--,--
SRX7581664,6.3464828,cotyledon,--,--
SRX7581666,6.2470803,cotyledon,--,--
SRX7582174,8.596135,first true leaf,--,--
SRX7582176,7.9465756,first true leaf,--,--
SRX7582178,7.9788527,first true leaf,--,--
SRX7582578,6.981716,second true leaf,--,--
SRX7582580,7.179053,second true leaf,--,--
SRX7582582,7.3055525,second true leaf,--,--
GSM4279797,23.110903,leaf,wild type,egg extract*
GSM4282457,26.862328,root,cif1-2_cif2-2 (both are CRISPR alleles),100 nM CIF2 for 120 min
GSM4282472,30.583303,root,cif1-2_cif2-2 (both are CRISPR alleles),100 nM CIF2 for 30 min
GSM4282494,24.318472,root,cif1-2_cif2-2 (both are CRISPR alleles),100 nM CIF2 for 480 min
GSM4282484,28.585257,root,cif1-2_cif2-2 (both are CRISPR alleles),no peptide for 120 min
GSM4282475,28.950005,root,cif1-2_cif2-2 (both are CRISPR alleles),no peptide for 30 min
GSM4282496,24.51546,root,cif1-2_cif2-2 (both are CRISPR alleles),no peptide for 480 min
GSM4282454,25.289661,root,sgn3-3 (SALK_043282),100 nM CIF2 for 120 min
GSM4282469,29.086666,root,sgn3-3 (SALK_043282),100 nM CIF2 for 30 min
GSM4282464,27.935658,root,sgn3-3 (SALK_043282),100 nM CIF2 for 480 min
GSM4282481,27.16094,root,sgn3-3 (SALK_043282),no peptide for 120 min
GSM4282502,28.779133,root,sgn3-3 (SALK_043282),no peptide for 30 min
GSM4282491,21.236214,root,sgn3-3 (SALK_043282),no peptide for 480 min
GSM4282451,27.557556,root,wild type,100 nM CIF2 for 120 min
GSM4282461,29.99274,root,wild type,100 nM CIF2 for 30 min
GSM4282460,24.444942,root,wild type,100 nM CIF2 for 480 min
GSM4282478,24.357819,root,wild type,no peptide for 120 min
GSM4282499,38.88792,root,wild type,no peptide for 30 min
GSM4282488,23.90737,root,wild type,no peptide for 480 min
GSM4293394,13.76021,rosette,wild type,--
SRX7688071,13.523976,leaf,--,1 week aHter TuMV
SRX7688068,11.245931,leaf,--,Mock Inoculation 48Hrs Mpersicae Heeding 15 aphids
SRX7754837,14.704773,Leaf,atmc1,--
SRX7754834,11.968504,Leaf,wild type,--
SRX7764739,23.527952,leave,ago2 mutant,Sclerotinia sclerotiorum
SRX7764738,12.613028,leave,ago2 mutant,mock
SRX7764737,16.617693,leave,wild type,Sclerotinia sclerotiorum
SRX7764742,9.883445,leave,wild type,mock
SRX7869423,24.559845,root tips,ktn1,--
SRX7868578,35.583225,root tips,ktn1,ABA
SRX7869410,26.850054,root tips,ktn1,CK
SRX7869420,26.258017,root tips,wild type,--
SRX7868575,41.591133,root tips,wild type,ABA
SRX7869407,22.75616,root tips,wild type,CK
GSM4404118,27.255781,root,Pro35SARR1,--
GSM4404116,24.271992,root,arr1,--
GSM4404114,19.589975,root,wild type,--
SRX7913300,14.878288,leaf,--,Control
SRX7913302,21.411818,leaf,--,pretreated with H2O2 and NaCl treated 12h
SRX7913308,9.805448,leaf,--,pretreated with H2O2 and water treated 12h
SRX7913305,26.106245,leaf,--,pretreated with water and NaCl treated 12h
SRX7949143,14.31806,leaf,--,--
SRX7949151,33.35503,leaf,--,--
SRX7949154,24.155851,leaf,--,--
GSM4422802,12.658216,shoot tip,wild type,45 minutes after 90 degree gravistimulation
SRX145599,19.800003,seedlings,ctr1-1,--
SRX145601,31.044037,seedlings,ein2,--
SRX145572,21.19426,seedlings,wild type,ethylene
