Target,Prediction,Factor,Factor_type_specific,Tissue,Mutant_specific,Age,Temperature
ERP116942/ERX3510578,4.604496,H3K4me3,histone methylation,Root,,7.0,22.0
ERP116942/ERX3510579,2.6719809,H3K9ac|H3K14ac,histone acetylation,Root,,7.0,22.0
ERP116942/ERX3510582,3.7549672,H3K27ac,histone acetylation,Root,,7.0,22.0
ERP116942/ERX3510583,4.671115,H3K27ac,histone acetylation,Root,,7.0,22.0
ERP116942/ERX3510584,0.69965076,H3K27me3,histone methylation,Root,,7.0,22.0
ERP116942/ERX3510585,0.7351936,H3K27me3,histone methylation,Root,,7.0,22.0
ERP116942/ERX3510586,4.234729,H3K4me3,histone methylation,Root,,7.0,22.0
ERP116942/ERX3510587,4.834664,H3K4me3,histone methylation,Root,,7.0,22.0
ERP116942/ERX3510588,2.481295,H3K9ac|H3K14ac,histone acetylation,Root,,7.0,22.0
ERP116942/ERX3510589,2.854977,H3K9ac|H3K14ac,histone acetylation,Root,,7.0,22.0
ERP116970/ERX3512324,2.96293,H3K9ac|H3K14ac,histone acetylation,Root,WT,7.0,22.0
ERP116970/ERX3512326,2.9839797,H3K9ac|H3K14ac,histone acetylation,Root,WT,7.0,22.0
ERP116970/ERX3512328,2.6067646,H3K9ac|H3K14ac,histone acetylation,Root,WT,7.0,22.0
ERP116970/ERX3512330,3.0229769,H3K9ac|H3K14ac,histone acetylation,Root,WT,7.0,22.0
ERP116970/ERX3512332,4.020172,H3K27ac,histone acetylation,Root,WT,7.0,22.0
ERP116970/ERX3512334,3.6434324,H3K27ac,histone acetylation,Root,WT,7.0,22.0
ERP116970/ERX3512336,3.3864777,H3K27ac,histone acetylation,Root,WT,7.0,22.0
ERP116970/ERX3512338,4.31499,H3K27ac,histone acetylation,Root,WT,7.0,22.0
ERP116970/ERX3512340,0.7169869,H3K27me3,histone methylation,Root,WT,7.0,22.0
ERP116970/ERX3512342,0.75716126,H3K27me3,histone methylation,Root,WT,7.0,22.0
ERP116970/ERX3512344,0.76371866,H3K27me3,histone methylation,Root,WT,7.0,22.0
ERP116970/ERX3512346,0.80349547,H3K27me3,histone methylation,Root,WT,7.0,22.0
ERP116970/ERX3512348,2.8098845,H3K36me3,histone methylation,Root,WT,7.0,22.0
ERP116970/ERX3512350,2.5443363,H3K36me3,histone methylation,Root,WT,7.0,22.0
ERP116970/ERX3512352,2.3123949,H3K36me3,histone methylation,Root,WT,7.0,22.0
ERP116970/ERX3512354,2.6286335,H3K36me3,histone methylation,Root,WT,7.0,22.0
ERP116970/ERX3512356,4.69517,H3K4me3,histone methylation,Root,WT,7.0,22.0
ERP116970/ERX3512358,4.872214,H3K4me3,histone methylation,Root,WT,7.0,22.0
ERP116970/ERX3512360,4.3299904,H3K4me3,histone methylation,Root,WT,7.0,22.0
ERP116970/ERX3512362,4.829702,H3K4me3,histone methylation,Root,WT,7.0,22.0
ERP119382/ERX3815211,0.32368416,H3K9me2,histone methylation,Flower,cmt3-11,42.0,20.0
ERP119382/ERX3815213,0.6085057,H3K9me2,histone methylation,Flower,"kyp, suvh4, suvh5, suvh6",42.0,20.0
ERP119382/ERX3815215,0.3736419,REC8,DNA-binding protein,Flower,"kyp, suvh4, suvh5, suvh6",42.0,20.0
ERP119382/ERX3815218,0.5736325,H3K27me1,histone methylation,Flower,WT,42.0,20.0
ERP119382/ERX3815219,0.30080152,H3K4me1,histone methylation,Flower,WT,42.0,20.0
ERP119382/ERX3815220,1.0292304,H3K4me2,histone methylation,Flower,WT,42.0,20.0
ERP119382/ERX3815221,0.36095017,H3K9me2,histone methylation,Flower,WT,42.0,20.0
ERP119382/ERX3815224,0.44673172,REC8,DNA-binding protein,Flower,WT,42.0,20.0
ERP119382/ERX3815226,0.515907,REC8,DNA-binding protein,Flower,"WT, myc",42.0,20.0
ERP119493/ERX3842733,0.52125096,ASY1,DNA-binding protein,Flower,WT,42.0,20.0
ERP122722/ERX4267205,5.398568,H3K9ac,histone acetylation,Leaf,WT,28.0,20.0
ERP122722/ERX4267207,5.3963223,H3K9ac,histone acetylation,Leaf,gsnor13,28.0,20.0
ERP122722/ERX4267209,4.357782,H3K9ac,histone acetylation,Leaf,hda6,28.0,20.0
ERP122722/ERX4267212,5.106383,H3K9ac,histone acetylation,Leaf,WT,28.0,20.0
ERP122722/ERX4267214,5.6559706,H3K9ac,histone acetylation,Leaf,gsnor13,28.0,20.0
ERP122722/ERX4267217,4.4652953,H3K9ac,histone acetylation,Leaf,hda6,28.0,20.0
ERP005526/ERX441180,0.22165743,H3K27me3,histone methylation,Whole plant,WT,12.0,
ERP005526/ERX441181,0.2115537,H3K27me3,histone methylation,Whole plant,ref6,12.0,
ERP005526/ERX441182,0.21573775,H3K27me3,histone methylation,Whole plant,ref6,12.0,
ERP005526/ERX441183,0.25161555,H3K27me3,histone methylation,Whole plant,ref6,12.0,
ERP117254/ERX4521861,0.17159961,H3K27me3,histone methylation,,WT,,
ERP117254/ERX4521862,0.6061608,H3K27me3,histone methylation,,clf1,,
ERP117254/ERX4521863,0.23621681,H3K27me3,histone methylation,,ddm11,,
ERP117254/ERX4521864,0.19342342,H3K27me3,histone methylation,,ddm12,,
